,motivation_choice,percentage,motivation
0,1,65.64762670957361,Family separation
1,2,13.354786806114241,Economic stability
2,3,6.637168141592921,Availability of job opportunities
3,4,40.54706355591311,The place currently living is safe
4,5,22.968624296057925,Rootedness/sense of belonging
5,6,1.4883346741753822,Enjoying social status
6,7,4.3443282381335475,Availability of good public services
7,8,3.620273531777957,Can afford good basic needs
8,9,12.469831053901851,Other
9,99,3.620273531777957,Not sure
